company_name,aliases,crunchbase_description,wikipedia_search,wikipedia_description,wikipedia_description_link,company_homepage,company_description,company_description_link,retrieval_date
lovely inc,"ourlovely; lovely, inc.; lovely",Lovely is an intimate wearable & app that makes couples scream with joy.,https://en.wikipedia.org/wiki/Special:Search?search=lovely+inc,,,https://ourlovely.com/,,,2021-03-16
kitty hawk,kitty hawk corporation,"Kitty Hawk is a startup taking aim at creating real, usable flying cars.",https://en.wikipedia.org/wiki/Special:Search?search=kitty+hawk,Kitty Hawk Corporation is an American aircraft manufacturer producing electric personal air vehicles.,https://en.wikipedia.org/wiki/Kitty_Hawk_Corporation,https://kittyhawk.aero/,,,2021-03-16
mc dean inc,"m.c. dean, inc.; m.c. dean; m c dean inc","M.C. Dean, Inc. offers comprehensive technological systems in Washington.",https://en.wikipedia.org/wiki/Special:Search?search=mc+dean+inc,"M.C. Dean, Inc. is a design-build and systems integration corporation for complex, mission-critical organizations. Started in 1949 as a small electrical firm, it has since grown to 3,800 employees and a revenue of approximately $810 million in 2011[2][3] It has headquarters in Tysons, Virginia, United States, and over 30 other offices, including branches in Atlanta, Georgia;Tampa, Florida; Stuttgart, Germany; and Dallas, Texas.","https://en.wikipedia.org/wiki/M.C._Dean,_Inc.",http://mcdean.com/,,,2021-03-16
mathematica policy research,"mathematica; mathematica, inc.; mathematica policy research inc",Mathematica Policy Research is a research and data analysis organization.,https://en.wikipedia.org/wiki/Special:Search?search=mathematica+policy+research,"Mathematica is an employee-owned company that works at the intersection of data, methods, policy, and practice. Mathematica's staff of more than 1,200 subject matter experts specialize in areas such as health, education, employment, justice, and disability research and are based in offices across the U.S: Princeton, New Jersey; Cambridge, Massachusetts; Chicago, Illinois; Washington, DC; Ann Arbor, Michigan; Seattle, Washington;[1] Woodlawn, Maryland, and Oakland, California. Mathematica's clients include federal agencies, state and local governments, foundations, universities, private-sector companies, and international organizations. In 2018, the company acquired EDI Global, a data research company based in the U.K. and Africa.",https://en.wikipedia.org/wiki/Mathematica_Policy_Research,https://www.mathematica.org/,,,2021-03-16
pony.ai,"pony; pony.ai inc; pony.ai, inc.; 小马智行",Pony.ai is a startup that builds full-stack autonomous driving solutions.,https://en.wikipedia.org/wiki/Special:Search?search=pony.ai,"Pony.ai is an autonomous vehicle technology company co-located in Silicon Valley, Beijing and Guangzhou.[2] The company was founded in December 2016 by James Peng and Lou Tiancheng who were formerly developers for Baidu in Silicon Valley.[3][4] In January 2018 Pony.ai completed a $112 million Series A round co-led by Morningside Venture Capital and Legend Capital with seed round lead-investor Sequoia China and investor IDG Capital also participating in the round, alongside Hongtai Capital, Legend Star, Puhua Capital, Polaris Capital, DCM Ventures, Comcast Ventures and Silicon Valley Future Capital.",https://en.wikipedia.org/wiki/Pony.ai,https://www.pony.ai/,,,2021-03-16
serco group plc,serco; serco plc; serco inc; serco inc.,"Serco is a provider of professional, technology, and management services.",https://en.wikipedia.org/wiki/Special:Search?search=serco+group+plc,"Serco Group plc is a British company with headquarters based in Hook, Hampshire, England.[3] Serco manages over 500 contracts worldwide. The company employs over 50,000 people.[3] Serco operates in the following sectors of public service provision: Health, Transport, Justice, Immigration, Defence, and Citizens Services. Serco primarily derives income as a contractor from the provision of government services.",https://en.wikipedia.org/wiki/Serco,https://www.serco.com/,,,2021-03-16
cobham plc,cobham limited; cobham; cobham ltd,Cobham protects lives and livelihoods with its differentiated technology.,https://en.wikipedia.org/wiki/Special:Search?search=cobham+plc,"Cobham Limited is a British aerospace manufacturing company based in Wimborne Minster, England.",https://en.wikipedia.org/wiki/Cobham_(company),https://www.cobham.com/,,,2021-03-16
kellogg co.,kellogg's; kellogg company,"Kellogg's is a cereal company, and a major producer of convenience foods.",https://en.wikipedia.org/wiki/Special:Search?search=kellogg+co.,"The Kellogg Company, doing business as Kellogg's, is an American multinational food manufacturing company headquartered in Battle Creek, Michigan, United States. Kellogg's produces cereal and convenience foods, including crackers and toaster pastries and markets their products by several well known brands including Corn Flakes, Frosted Flakes, Pringles, Eggo, and Cheez-It. Kellogg's mission statement is ""Nourishing families so they can flourish and thrive.""",https://en.wikipedia.org/wiki/Kellogg%27s,https://www.kelloggcompany.com/,,,2021-03-16
phyn,"phyn inc; phyn, llc",Provider of a water monitor that attaches to the main water line of homes.,https://en.wikipedia.org/wiki/Special:Search?search=phyn,,,http://www.phyn.com/,Phyn alerts you to all types of leaks and stops them before they become expensive problems – from pinhole and drip leaks happening behind your walls to frozen pipe bursts in your attic.,http://www.phyn.com/,2021-03-16
ues inc,"ues; ues, inc.",UES is a research company that provides research and development services.,https://en.wikipedia.org/wiki/Special:Search?search=ues+inc,,,https://www.ues.com/,"For more than 45 years, we have been involved in scientific research and technology development, and created and successfully commercialized innovative products and services. UES offers rewarding career opportunities in science, technology, engineering, and support functions.",https://www.ues.com/,2021-03-16
blue hexagon,blue hexagon inc; blue hexagon inc.,Blue Hexagon offers an on-device machine learning-based malware detection.,https://en.wikipedia.org/wiki/Special:Search?search=blue+hexagon,,,https://bluehexagon.ai/,"Much of the progress we’ve seen in artificial intelligence in the past five years is due to deep learning. Advances in software algorithm models, processing power and dramatically lower costs have put deep learning within reach of more companies, opening the door for broader innovation in applications. We believe deep learning will transform cybersecurity.",https://bluehexagon.ai/company/,2021-03-16
slamtec,"shanghai slamtec co ltd; 思岚科技; silan technology; 上海思岚科技有限公司; shanghai slamtec co., ltd.",Slamtec provides first consumer level high performance robot localization.,https://en.wikipedia.org/wiki/Special:Search?search=slamtec,,,slamtec.com,"SLAMTEC was founded in 2013, and its core R&D team is experienced in the development and application of robot autonomous localization and navigation solution as well as related core sensors. By providing high-efficient and reliable solution for robot industry through developing technology and updating product continuously, SLAMTEC has already become the pioneer of autonomous localization and navigation solution in service robot industry.",http://www.slamtec.com/en/Home/About,2021-03-16
hugging face,"hugging face, inc.; hugging face inc",Hugging Face is building open-source tools for natural language processing,https://en.wikipedia.org/wiki/Special:Search?search=hugging+face,,,https://huggingface.co/,"Build, train and deploy state of the art models powered by the reference open source in natural language processing.",https://huggingface.co,2021-03-16
abc technology,"阿博茨科技; aboci keji; 北京阿博茨科技有限公司; beijing abc fintech co., ltd.; abc fintech; beijing abc technology co ltd",ABC Fintech provides AI-driven cloud services for financial professionals.,https://en.wikipedia.org/wiki/Special:Search?search=abc+technology,,,https://www.abcfintech.com/,"我们专注于使用AI技术改进金融数据的产生、提取、分析、沉淀以及呈现，我们致力于为客户构建一个私有、可持续自主维护的AI金融大脑。
使机器变得智能、帮人类更具智慧。",https://www.abcfintech.com/,2021-03-16
isee,"isee, inc.; isee inc; isee ai",ISEE develops a humanistic artificial intelligence for autonomous driving.,https://en.wikipedia.org/wiki/Special:Search?search=isee,"ISEE is a European multinational company that designs and manufactures small computer-on-modules (COMs), single-board computers, expansion boards, radars and other embedded systems.[1][2] The abbreviation of ISEE refers to Integration, Software & Electronics Engineering. Their products are based on the IGEP Technology, the ISEE Generic Enhanced Platform using Texas Instruments OMAP processors.",https://en.wikipedia.org/wiki/ISEE_(company),http://isee.ai,,,2021-03-16
ideagen,datum international; ideagen plc,Ideagen is a provider of compliance-based information management software.,https://en.wikipedia.org/wiki/Special:Search?search=ideagen,,,https://www.ideagen.com,"We provide software and services to organisations operating within highly regulated industries such as aviation, financial services, life science, healthcare and manufacturing.",https://www.ideagen.com/company,2021-03-16
parker-hannifin corp,parker hannifin; parker hannifin corp; parker,Parker Hannifin is the world's leading diversified manufacturer of motion.,https://en.wikipedia.org/wiki/Special:Search?search=parker-hannifin+corp,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland (with a Cleveland mailing address).",https://en.wikipedia.org/wiki/Parker_Hannifin,http://www.parker.com/,,,2021-03-16
respira labs,respira labs llc; respiralabs inc.,Predicting COPD Exacerbations via Acoustic Resonance Index Analysis and AI,https://en.wikipedia.org/wiki/Special:Search?search=respira+labs,,,http://respiralabs.com/,Sylvee is the world's first AI-enabled wearable device designed to continuously monitor lung function,http://respiralabs.com/,2021-03-16
ai.reverie,"ai.reverie, inc.",A leading provider of synthetic data to train machine learning algorithms.,https://en.wikipedia.org/wiki/Special:Search?search=ai.reverie,,,https://www.aireverie.com/,"The world’s perception of Artificial Intelligence is shrouded in mystery and misinformation. AI.Reverie was borne from our collective desire to change that, and to build a future in which AI is sustainable. Our answer lies in synthetic data: harnessing computer-generated, three-dimensional environments to accelerate machine learning in a controlled, responsible, and empirical manner.",https://aireverie.com/our-story,2021-03-16
cyborgdistro,hackaday,"Hackaday.com serves up fresh hacks each day, every day from around the web.",https://en.wikipedia.org/wiki/Special:Search?search=cyborgdistro,,,https://hackaday.io/project/6888-cyborgdistro,An Open-Source Initiative to Build Multi-Robot Cyborgs,https://hackaday.io/project/6888-cyborgdistro,2021-03-16
peter kiewit sons' inc,"peter kiewit sons', inc.; kiewit corporation; kiewit","Kiewit Corporation provides construction, mining, and engineering services.",https://en.wikipedia.org/wiki/Special:Search?search=peter+kiewit+sons%27+inc,"Kiewit Corporation is a privately held construction company based in Omaha, Nebraska founded in 1884. It ranked 307th place in Fortune 500 for United States.[1] Privately held, it is one of the largest construction and engineering organizations in North America.",https://en.wikipedia.org/wiki/Kiewit_Corporation,http://www.kiewit.com/,,,2021-03-16
pathai,"pathai, inc.; pathai inc",PathAI's goal is to improve cancer diagnosis using artificial intelligence.,https://en.wikipedia.org/wiki/Special:Search?search=pathai,,,http://www.pathai.com,,,2021-03-16
gulf island fabrication inc,"gulf island fabrication; gulf island fabrication, inc.; gulf island; gifi","Gulf Island Fabrication, Inc. is a diversified, publicly-traded corporation",https://en.wikipedia.org/wiki/Special:Search?search=gulf+island+fabrication+inc,"Gulf Island Fabrication is an American manufacturer of specialized structures and marine vessels used in the energy sector. The company builds offshore oil and gas platforms, ships and also foundations for offshore wind turbines.[1] It also provides maintenance and marine repair services in-shop and out in the field. The company has built some of the largest offshore platforms in the world.",https://en.wikipedia.org/wiki/Gulf_Island_Fabrication,http://www.gulfisland.com/,,,2021-03-16
gf securities co ltd,"gf securities; gfs; guangfa securities co., ltd.; guangfa; u5e7fu53d1u8bc1u5238; guangfa zhengquan; u5e7fu53d1u8bc1u5238u80a1u4efdu6709u9650u516cu53f8",Gf Securities is a financial services fintech company located in Vancouver.,https://en.wikipedia.org/wiki/Special:Search?search=gf+securities+co+ltd,,,http://en.gf.com.cn/,"At Gulf Island, our goal is to exceed customer expectations by bringing together a legacy of industry leadership with an unyielding commitment to quality and safety in the fabrication of complex steel structures and marine vessels and offshore and onshore services. From fabrication to providing technical support, and other expert services, we have a history of building customer success, safely and reliably.",https://www.gulfisland.com,2021-03-16
dropbox,"dropbox, inc.; dropbox inc","Dropbox provides secure file sharing, collaboration, and storage solutions.",https://en.wikipedia.org/wiki/Special:Search?search=dropbox,"Dropbox is a file hosting service operated by the American company Dropbox, Inc., headquartered in San Francisco, California, that offers cloud storage, file synchronization, personal cloud, and client software. Dropbox was founded in 2007 by MIT students Drew Houston and Arash Ferdowsi as a startup company, with initial funding from seed accelerator Y Combinator.",https://en.wikipedia.org/wiki/Dropbox_(service),http://www.dropbox.com,,,2021-03-16
royal dutch shell,royal dutch shell; royal dutch shell plc; u58f3u724cu4e2du56fd; shell global; shell,Royal Dutch Shell is a global group of energy and petrochemicals companies.,https://en.wikipedia.org/wiki/Special:Search?search=royal+dutch+shell,"Royal Dutch Shell plc, commonly known as Shell, is a British-Dutch multinational oil and gas company headquartered in The Hague, Netherlands and incorporated in the United Kingdom as a public limited company.[3][4] It is one of the oil and gas ""supermajors"" and the fifth-largest company in the world measured by 2020 revenues (and the largest based in Europe).[5][6] In the 2020 Forbes Global 2000, Royal Dutch Shell was ranked as the 21st-largest public company in the world.[7] Shell was first in the 2013 Fortune Global 500 list of the world's largest companies;[8] in that year its revenues were equivalent to 84% of the Dutch national $556 billion GDP.",https://en.wikipedia.org/wiki/Royal_Dutch_Shell,https://www.shell.com/,,,2021-03-16
whiting-turner contracting co/the,whiting turner; the whiting-turner contracting company; whiting-turner contracting co; whiting-turner,Whiting Turner is a construction management and general contracting company.,https://en.wikipedia.org/wiki/Special:Search?search=whiting-turner+contracting+co%2Fthe,,,http://www.whiting-turner.com/,"Whiting-Turner provides construction management, general contracting, design-build and integrated project delivery services on projects small and large for a diverse group of customers. We constantly strive to exceed each client’s expectations through innovation, collaboration and best practices.",https://www.whiting-turner.com/about-us/,2021-06-11
zenetex llc,zenetex,Zenetex specializes in providing management and technology support services.,https://en.wikipedia.org/wiki/Special:Search?search=zenetex+llc,,,http://zenetex.com/,"As a mid-tier company, Zenetex offers our customers and partners the best of both worlds – small business agility coupled with big business acumen and processes. Zenetex is an experienced prime contractor powered by experienced leaders, tactical innovators, knowledgeable communicators, and out-of-the-box problem solvers. Our senior leadership team has adopted the best corporate processes of a large business and adapted them to form a flexible, non-bureaucratic operation that truly focuses on our customers, employees, responsiveness, and quality results. This philosophy has not only helped Zenetex see remarkable business growth, but earned us the reputation as one of the best companies to work for and to partner with.",http://zenetex.com/Capabilities.aspx,2021-03-16
suki ai,suki ai inc; robin; learning motors; suki,"Suki is an AI-powered, voice-enabled digital assistant designed for doctors.",https://en.wikipedia.org/wiki/Special:Search?search=suki+ai,,,https://www.suki.ai/,"Suki is an AI-powered, voice-enabled digital assistant for doctors. We want to give our users superpowers to make them happier and more productive while solving some of the biggest problems in healthcare.",https://www.suki.ai/,2021-03-16
healthy.io,healthy.io limited; healthyio ltd,Healthy.io converts smartphone cameras into a clinical grade medical device.,https://en.wikipedia.org/wiki/Special:Search?search=healthy.io,"Healthy.io, based in Tel Aviv, Israel, is a health care company that offers remote clinical testing and services enabled by smartphone technology.[2][3] Launched in 2013 by founder and CEO Yonatan Adiri,[2] the company uses smartphones to enable at-home diagnostics testing for the detection of signs of kidney disease, urinary tract infections, and pregnancy complications.[4][5] Its digital wound management solution is used by medical personnel to measure and track wounds using a smartphone.",https://en.wikipedia.org/wiki/Healthy.io,http://healthy.io/,,,2021-03-16
tigerobo,"虎博科技; tigerobo technology; tigerbo technology tigerbo network technology (shanghai) co., ltd.",Tigerobo is an artificial intelligence technology driven technology company.,https://en.wikipedia.org/wiki/Special:Search?search=tigerobo,,,https://www.tigerobo.com,Tigerobo虎博致力于通过自主研发的人工智能产品和服务，深入挖掘全球各行业的专业信息数据，并以可视化、结构化的方式呈现关键内容。截至目前，公司融资额超越同阶段AI+NLP领域其他同业。,https://www.tigerobo.com/#/about-us,2021-03-16
kinder morgan,"kinder morgan, inc.; kinder morgan, inc. (nyse: kmi)",Kinder Morgan is the largest energy infrastructure company in North America.,https://en.wikipedia.org/wiki/Special:Search?search=kinder+morgan,"Kinder Morgan, Inc. is one of the largest energy infrastructure companies in North America.[3] The company specializes in owning and controlling oil and gas pipelines and terminals.",https://en.wikipedia.org/wiki/Kinder_Morgan,https://www.kindermorgan.com/,,,2021-03-16
aucode,"automated controversy detection, llc; automated controversy detection",AuCoDe aims to be the Google Alerts of controversies and crisis situations.,https://en.wikipedia.org/wiki/Special:Search?search=aucode,,,https://www.aucode.io/,"AuCoDe uses state-of-the-art machine learning algorithms to stop the spread of misinformation online. We use transparent, empirical methods to detect and track controversial discourse in different social networks, and work with experts to combat harmful misinformation.",https://www.aucode.io/,2021-03-16
n-join research,n join; n-join,N-Join is a technology development company focused on the industrial market.,https://en.wikipedia.org/wiki/Special:Search?search=n-join+research,,,http://www.n-join.com/,,,2021-03-16
nexar,nexar ltd,Nexar makes every car smart and is building the world’s safe driving network.,https://en.wikipedia.org/wiki/Special:Search?search=nexar,,,https://getnexar.com/,Our mission is to create the technology that will make driving and cities better and safer.,https://data.getnexar.com/about/?utm_source=wwwGetnexar&utm_medium=Organic&utm_content=wwwGetnexar_FOOTER,2021-03-16
zesty.ai,powerscout inc.; dba zesty.ai,Zesty.ai is an AI-enabled property analytics and risk platform for insurance.,https://en.wikipedia.org/wiki/Special:Search?search=zesty.ai,,,https://zesty.ai,"Frequent natural disasters displace families, devastate communities and drive financial loss. Zesty.ai uses artificial intelligence to understand the impact of climate risk to each and every building.",https://www.zesty.ai/about,2021-03-16
antuit,"antuit, inc.; antuit inc; antuit.ai","AI solutions leader in the Retail, Consumer Goods & Manufacturing industries.",https://en.wikipedia.org/wiki/Special:Search?search=antuit,,,https://www.antuit.com,"World's Most Advanced AI Demand Forecast &
Omnichannel Inventory Optimization",https://www.antuit.com,2021-03-16
"fyusion, inc.","fyusion; fyusion, inc. ; fyusion inc; fyusion, inc",Fyusion develops products powered by 3D computer vision and machine learning.,https://en.wikipedia.org/wiki/Special:Search?search=fyusion%2C+inc.,,,http://fyusion.com/,We combine 3D imaging with artificial intelligence to create immersive customer experiences.,http://fyusion.com/,2021-03-16
freeport-mcmoran inc.,freeport-mcmoran; freeport-mcmoran copper & gold inc; fcx,Freeport-McMoRan Chino Mines Company is a subsidiary of Freeport-McMoRan Inc.,https://en.wikipedia.org/wiki/Special:Search?search=freeport-mcmoran+inc.,"Freeport-McMoRan Inc., often called Freeport, is a mining company based in the Freeport-McMoRan Center, in Phoenix, Arizona.",https://en.wikipedia.org/wiki/Freeport-McMoRan,https://www.fcx.com/,,,2021-03-16
skyworks solutions,"skyworks solutions, inc.; skyworks; skyworks solutions inc",Skyworks Solutions is an innovator of high performance analog semiconductors.,https://en.wikipedia.org/wiki/Special:Search?search=skyworks+solutions,"Skyworks Solutions, Inc. is an American semiconductor company headquartered in Irvine, California, United States.",https://en.wikipedia.org/wiki/Skyworks_Solutions,https://www.skyworksinc.com/,,,2021-03-16
ubtech robotics,ubtech; ubtech robotics; ubtech robotics inc; 优必选,UBTech Robotics is as an artificial intelligence and humanoid robotic company.,https://en.wikipedia.org/wiki/Special:Search?search=ubtech+robotics,"Ubtech Robotics Inc. is a Chinese manufacturer of robots based in Shenzhen, Guangdong. Ubtech was founded in 2012 by Zhou Jian.[1] Ubtech specializes in humanoid robots. Ubtech exhibited at IFA Berlin in 2017 and showed its latest innovations.",https://en.wikipedia.org/wiki/UBtech_Robotics,http://www.ubtrobot.com/,,,2021-03-16
fundbox,"fundbox ltd; fundbox, inc.",Fundbox is a B2B payment and credit network that transforms how funding flows.,https://en.wikipedia.org/wiki/Special:Search?search=fundbox,"Fundbox is a financial services platform based in San Francisco that offers credit and payment solutions to small businesses. Founded in 2013, the company uses big data analytics, engineering, and predictive modeling to help optimize cash flow for small businesses. The organization has received funding from venture capital firms such as General Catalyst Partners, Khosla Ventures, MUFG, Bezos Expeditions, and Allianz. As of 2019, the company had raised a total of $433.5 million in funding from at least 14 investors.",https://en.wikipedia.org/wiki/Fundbox,http://www.fundbox.com/,,,2021-03-16
lightmatter,"lightmatter, inc.; lightmatter inc",Lightmatter is an AI hardware company that uses integrated optical technology.,https://en.wikipedia.org/wiki/Special:Search?search=lightmatter,,,https://lightmatter.co/,"Lightmatter is building the engines that will power discoveries, drive progress, and reduce our impact on the planet.",https://lightmatter.co/story/,2021-03-16
air transport services group inc,"air transport services group; atsg; air transport services group, inc.n",Air Transport Services Group is a leading provider of air cargo transportation,https://en.wikipedia.org/wiki/Special:Search?search=air+transport+services+group+inc,"Air Transport Services Group (ATSG) is an American aviation holding company which provides air cargo transportation and related services to domestic and foreign air carriers and other companies that outsource their air cargo lift requirements. ATSG, through its leasing and airline subsidiaries, is the world's largest owner and operator of converted Boeing 767 freighter aircraft. Through its principal subsidiaries, including three airlines with separate and distinct U.S. FAA Part 121 Air Carrier certificates, ATSG provides aircraft leasing, air cargo lift, passenger ACMI and charter services, aircraft maintenance services and airport ground services. ATSG's subsidiaries include Cargo Aircraft Management, Inc.; ABX Air, Inc.; Air Transport International, Inc.; Omni Air International, LLC, Airborne Global Solutions, Inc.; Airborne Maintenance and Engineering Services, Inc., including its subsidiary, Pemco Conversions dba Pemco World Air Services; and LGSTX Services, Inc.. [1]
ATSG owns a 25 percent equity interest in West Atlantic.",https://en.wikipedia.org/wiki/Air_Transport_Services_Group,https://www.atsginc.com/,,,2021-03-16
xiaoi robot,"shanghai xiaoi robot technology co ltd; shanghai zhizhen zhineng wangluo keji gufen youxian gongsi; 小i机器人; xiaoi jiqiren; 上海智臻智能网络科技股份有限公司; xiaoi robot, inc.",Xiaoi Robot is an intelligent robot technology provider and platform operator.,https://en.wikipedia.org/wiki/Special:Search?search=xiaoi+robot,,,xiaoi.com,"小i机器人，是中国具有代表性的认知智能商业落地型企业。自2001年创立以来，专注于以自然语言处理为基础的认知智能相关技术的自主研发和商业落地，拥有强大的人机认知交互能力，被Gartner称为“会话式AI企业代表”享誉全球。
通过智能交互平台、智能语音平台、知识融合平台等核心智能化产品，小i机器人已为客户联络中心、金融、政务、医疗等数十个行业，提供了全方位的客户服务的智能化解决方案和落地服务，也是国内最早实践智能客服市场化应用的公司之一。目前小i机器人服务数百家企业，并在多个垂直行业的市场占有率位居领先地位，终端客户逾8亿。",https://www.xiaoi.com/aboutus,2021-03-16
dataminr,dataminr inc; ebh enterprises inc,Dataminr is an IT company that analyzes public data about events in real-time.,https://en.wikipedia.org/wiki/Special:Search?search=dataminr,Dataminr is a New York based company that specialises in artificial intelligence to provide real-time information alerts to clients. It was founded in 2009 and employs about 600 people.,https://en.wikipedia.org/wiki/Dataminr,https://www.dataminr.com/,,,2021-03-16
kansas city southern,kcs; kansas city southern railway company,"Headquartered in Kansas City, Missouri, Kansas City Southern (KCS) (NYSE: KSU)",https://en.wikipedia.org/wiki/Special:Search?search=kansas+city+southern,,,https://www.kcsouthern.com/,"KCS strives to consistently be the fastest-growing, best-performing, most customer-focused transportation provider in North America.",https://www.kcsouthern.com/en-us/about-us/overview/vision-values,2021-03-16
fanuc corporation,,"FANUC America Corporation, is a supplier of robotic automation in the America.",https://en.wikipedia.org/wiki/Special:Search?search=fanuc+corporation,"FANUC (/ˈfænək/ or /ˈfænʊk/; often styled Fanuc) is a Japanese group of companies that provide automation products and services such as robotics and computer numerical control wireless systems.[6] These companies are principally FANUC Corporation (ファナック株式会社, Fanakku Kabushikigaisha) of Japan, Fanuc America Corporation of Rochester Hills, Michigan, USA, and FANUC Europe Corporation S.A. of Luxembourg.
FANUC is the largest maker of industrial robots in the world. FANUC had its beginnings as part of Fujitsu developing early numerical control (NC) and servo systems. FANUC is acronym for Fuji Automatic NUmerical Control.",https://en.wikipedia.org/wiki/FANUC,http://www.fanuc.co.jp/eindex.htm,,,2021-03-16
mendel.ai,mendel; mendel health,Advancing Clinical Research by Combining Machine Precision and Human Intuition,https://en.wikipedia.org/wiki/Special:Search?search=mendel.ai,,,https://mendel.ai/,Mendel transforms unstructured EMR data and clinical literature into the industry’s most comprehensive and compliant analytics-ready data.,https://mendel.ai/,2021-03-16
ma federal inc,"ma federal, inc.; m a federal inc; igov",iGov is a lean organization that provides IT solutions to government customers.,https://en.wikipedia.org/wiki/Special:Search?search=ma+federal+inc,,,https://www.igov.com/,"iGov’s solutions consistently produce tangible, measurable benefits – one of the unique differentiators that contribute to our outstanding customer retention rates. Our loyal client base is the result of outstanding personnel who understand how to maximize the potential of our leading-edge technology offerings.",https://www.igov.com/,2021-03-16
mathworks,the mathworks; mathworks inc,"Mathworks is a producer of MATLAB, a program for data and statistical analysis.",https://en.wikipedia.org/wiki/Special:Search?search=mathworks,"MathWorks is an American privately held corporation that specializes in mathematical computing software. Its major products include MATLAB and Simulink, which support data analysis and simulation.",https://en.wikipedia.org/wiki/MathWorks,http://www.mathworks.com,,,2021-03-16
fanai,fanai inc.,FanAI is an AI-driven Audience Monetization platform focusing first on esports.,https://en.wikipedia.org/wiki/Special:Search?search=fanai,,,http://fanai.io/,"FanAI is the only platform that allows brands to discover how current and prospective audiences spend online and offline. Through bottom-of-funnel sponsorship metrics, brands are able to make more informed and strategic decisions for their marketing spend, which further enables them to engage with the right customers at the right time.",http://fanai.io/,2021-03-16
grabango,grabango co.,Grabango is a provider of checkout-free shopper technology for existing stores.,https://en.wikipedia.org/wiki/Special:Search?search=grabango,,,https://grabango.com/,Grabango is a free service offered by grocery and convenience stores. Grabango allows shoppers to skip the checkout line and simply walk out after scanning the code in their Grabango app.,https://grabango.com/,2021-03-16
loadsmart,"loadsmart, inc.; loadsmart inc; loadsmart inc.",Loadsmart helps shippers move their freight fast and carriers keep trucks full.,https://en.wikipedia.org/wiki/Special:Search?search=loadsmart,,,http://loadsmart.com/,"We can now bring you integrated and greatly expanded solutions that combine genetics, chemistry and precision agriculture. We help farmers maximize the value of their investment through high-performing genetics and effective science-based solutions that optimize yield and crop quality.",https://www.corteva.com/products-and-services.html,2021-03-16
corteva,corteva agriscience; corteva inc,"Corteva Agriscience is a publicly traded, global pure-play agriculture company.",https://en.wikipedia.org/wiki/Special:Search?search=corteva,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",https://en.wikipedia.org/wiki/Corteva,https://www.corteva.com,,,2021-03-16
dte energy co.,dte energy; dte,DTE Energy provides gas & electric utility services to MI homes and businesses.,https://en.wikipedia.org/wiki/Special:Search?search=dte+energy+co.,DTE Energy (formerly Detroit Edison until 1996) is a Detroit-based diversified energy company involved in the development and management of energy-related businesses and services in the United States and Canada. Its operating units include an electric utility serving 2.2 million customers and a natural gas utility serving 1.3 million customers in Michigan.,https://en.wikipedia.org/wiki/DTE_Energy,https://www.newlook.dteenergy.com/,,,2021-03-16
oshkosh corp,"oshkosh corporation; oshkosh; oshkosh corporation, inc.","Oshkosh Corporation is a leading manufacturer and marketer of access equipment,",https://en.wikipedia.org/wiki/Special:Search?search=oshkosh+corp,"Oshkosh Corporation, formerly Oshkosh Truck, is an American industrial company that designs and builds specialty trucks, military vehicles, truck bodies, airport fire apparatus, and access equipment. The corporation also owns Pierce Manufacturing, a fire apparatus manufacturer in Appleton, Wisconsin and JLG Industries, a leading manufacturer of lift equipment, including aerial lifts, boom lifts, scissor lifts, telehandlers and low-level access lifts. Based in Oshkosh, Wisconsin, the company employs approximately 16,000 people around the world.[3] It is organized in four primary business groups: access equipment, defense, fire and emergency, and commercial.",https://en.wikipedia.org/wiki/Oshkosh_Corporation,https://www.oshkoshcorp.com/,,,2021-03-16
3dim tech inc,3dim,3dim provides accurate 3D gesture sensor for the battery-powered mobile device.,https://en.wikipedia.org/wiki/Special:Search?search=3dim+tech+inc,,,http://3dimtech.com/,,,2021-03-16
concerto healthai,concerto healthcare inc; concerto healthai solutions llc; concertai; concertai.,Revolutionize and accelerate the insights that lead to improved patient outcomes,https://en.wikipedia.org/wiki/Special:Search?search=concerto+healthai,,,https://concertohealthai.com/,"Our mission is to accelerate insights and outcomes for patients through leading real-world data, AI technologies, and scientific expertise in partnership with the leading biomedical innovators, healthcare providers, and medical societies.",https://www.concertai.com/about-us/,2021-03-16
aqr capital management,aqr capital management llc; aqr,AQR develops inventive practical investment strategies and customized solutions.,https://en.wikipedia.org/wiki/Special:Search?search=aqr+capital+management,"AQR Capital Management (Applied Quantitative Research) is a global investment management firm based in Greenwich, Connecticut, United States. The firm, which was founded in 1998 by Cliff Asness, David Kabiller, John Liew, and Robert Krail, offers a variety of quantitatively driven alternative and traditional investment vehicles to both institutional clients and financial advisors. The firm is primarily owned by its founders and principals. AQR has additional offices in Boston, Chicago, Los Angeles, Bangalore, Hong Kong, London, Sydney, and Tokyo.",https://en.wikipedia.org/wiki/AQR_Capital,https://www.aqr.com/,,,2021-03-16
